lang,Bitext_Previous publication,Bitext_Web aligned,Bitext_Web articles,Bitext_PDF aligned,Bitext_PDF other,Mono_Previous publication,Mono_Web,Mono_PDF
acf,19510,0,0,4406,0,30257,0,0
aoa,0,198,0,0,0,0,0,0
bah,0,327,0,0,0,0,0,0
brc,0,222,0,0,0,0,0,0
bzj,30773,229,0,0,0,0,34373,0
bzk,0,391,0,0,0,0,0,0
cab,20879,0,0,0,0,47471,0,0
cri,0,306,0,0,0,0,0,0
crs,222690,273,0,0,2912,61696,445177,15719
dcr,0,189,0,0,0,0,0,0
djk,61435,7398,0,0,0,28871,0,0
fab,0,204,0,0,0,0,0,0
fng,0,160,0,0,0,0,0,0
fpe,0,259,0,0,0,0,0,0
gcf,64,4844,1559,0,0,0,0,0
gcr,0,159,880,0,394,0,15140,1994
gpe,0,223,0,0,0,0,12425,0
gul,8569,262,0,0,0,0,0,0
gyn,0,258,0,0,0,0,0,0
hat,5900275,165,122594,0,0,0,7639,0
icr,16457,317,0,0,0,0,0,0
jam,28311,233,169,0,0,19756,4419,0
kea,131454,484,860,0,133,0,229,5491
kri,66551,185,0,0,0,49016,0,0
ktu,10562,175,0,0,0,57077,0,0
lou,0,440,0,228,1192,0,0,0
mart1259,0,231,0,4870,52,0,0,0
mfe,232788,258,0,274,0,68167,0,0
mue,0,147,0,0,0,0,0,0
pap,5294750,146,65665,2833,0,2140730,0,0
pcm,47202,253,0,0,0,0,0,0
pov,0,480,0,0,0,0,0,0
pre,0,243,0,0,0,0,0,0
rcf,0,285,0,0,0,60098,83659,3877
sag,535118,192,0,0,0,0,0,0
srm,58613,440,0,0,0,21931,0,0
srn,608397,606,4,6003,0,182532,4596,0
svc,0,321,0,0,0,0,0,0
tpi,900560,63,25025,0,0,0,0,0
trf,1517,174,0,0,0,0,0,0
wes,0,223,0,0,0,0,0,0
Total,14196475,21963,216756,18614,4683,2767602,607657,27081
