lang,Bible,Educational,Legal,Narrative,News,Religious,Wikipedia,Other/Mix
acf,15989,4406,0,0,0,0,0,33778
aoa,0,198,0,0,0,0,0,0
bah,0,327,0,0,0,0,0,0
brc,0,222,0,0,0,0,0,0
bzj,54933,229,0,0,0,0,0,10213
bzk,0,391,0,0,0,0,0,0
cab,20879,0,0,0,0,0,0,47471
cri,0,306,0,0,0,0,0,0
crs,5055,273,443948,15719,4141,0,0,279331
dcr,0,189,0,0,0,0,0,0
djk,23815,7398,0,0,0,0,0,66491
fab,0,204,0,0,0,0,0,0
fng,0,160,0,0,0,0,0,0
fpe,0,259,0,0,0,0,0,0
gcf,1559,304,0,4446,0,0,0,158
gcr,879,159,0,2388,0,0,15141,0
gpe,0,223,0,0,0,0,12425,0
gul,7990,262,0,0,0,0,0,579
gyn,0,258,0,0,0,0,0,0
hat,71958,9359,0,4,0,115583,5452,5828317
icr,15702,317,0,0,0,0,0,755
jam,18420,233,0,0,0,0,4588,29647
kea,0,6108,0,0,229,0,0,132314
kri,16113,185,0,0,0,0,0,99454
ktu,5055,175,0,0,0,0,0,62584
lou,0,668,0,1192,0,0,0,0
mart1259,0,283,0,0,0,0,0,4870
mfe,23624,258,0,274,0,0,0,277331
mue,0,147,0,0,0,0,0,0
pap,5018,2996,0,0,0,65573,92,7430445
pcm,15905,253,0,0,0,0,0,31297
pov,0,480,0,0,0,0,0,0
pre,0,243,0,0,0,0,0,0
rcf,0,285,0,0,83659,0,0,63975
sag,16952,192,0,0,0,0,0,518166
srm,23531,440,0,0,0,0,0,57013
srn,24567,6607,0,0,0,0,4600,766364
svc,0,321,0,0,0,0,0,0
tpi,81178,62,0,0,0,25018,7,819383
trf,0,174,0,0,0,0,0,1517
wes,0,223,0,0,0,0,0,0
Total,449122,45777,443948,24023,88029,206174,42305,16561453
